license_number,application_number,business_name,my_business_name_sixletters,license_type,all_packets_submitted_dt,application_fee,lic_fee_amount,dbe,cnb_dt_of_final_licensure,approved_license_type,priority_type,application_status,row_ct,business_address_1,business_address_2,business_city,business_state,business_zipcode,my_business_zipcode,,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,dph_rmd_number,name_of_rmd,establishment_address_1,establishment_address_2,establishment_city,establishment_state,establishment_zip_code,establishment_county,square_footage_establishment,abutters_count,is_abutters_notified,massachusetts_business,dba_name,dba_registration_city,cooperative_total_canopy,cooperative_cultivation,cultivation_tier,establishment_activities,establishment_cultivation,app_create_date,my_longitude,latitude,my_latitude,longitude,disability_owned_business,lesbian_gay_bisexual_and_transgender_owned_business,minority_owned_business,veteran_owned_business,woman_owned_business,not_a_dbe,county_geocoded_column_1
MR283179,MRN283179,"Western Front, LLC",Wester,Marijuana Retailer,,0,"10,000",Not a DBE,,PROVISIONAL LICENSE,ECONOMIC EMPOWERMENT,APPROVED,1,699 Boylston Street,12th Floor,Boston,MA,2116,02116,,699 Boylston Street,12th Floor,Boston,MA,2116,,,567-569 Massachusetts Ave.,,Cambridge,MA,2139,,"2,000",9,Yes,1322367,,,,,,,,12/10/2019 0:00,-71.10235124,(-71.10235124399998,42.36494185,42.36494185000004),,,,,,1,
MP281590,MPN281590,Tree Beard Inc.,Tree B,Marijuana Product Manufacturer,,0,0,Not a DBE,,PROVISIONAL CONSIDERATION,ECONOMIC EMPOWERMENT,APPROVED,1,319A Union St,,New Bedford,MA,2740,02740,,319A Union St,,New Bedford,MA,2740,,,1 Nauset Street,,New Bedford,MA,2746,,"8,700",21,Yes,1271344,Tree Beard Inc.,New Bedford,,,,,,1/30/2019 0:00,-70.93706749,(-70.93706748999995,41.66207925,41.662079246000076),,,,,,1,
MC282431,MCN282431,Holistic Health Group Inc,Holist,Marijuana Cultivator,,600,"5,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,202 Wood st,,Hopkinton,MA,1748,01748,,202 Wood st,,Hopkinton,MA,1748,RPA201867,Holistic Health Group Inc,477 Wareham st,,Middleborough,MA,2344,,"31,000",2,Yes,1336523,,,,,"Tier 03: 10,001 to 20,000 sq. ft",,,10/4/2019 0:00,-70.83971562,(-70.83971562399995,41.84103481,41.84103480600004),,,,,,1,
MR283123,MRN283123,"MME Newton Retail, LLC",MME Ne,Marijuana Retailer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,50 Congress Street,Suite 420,Boston,MA,2109,02109,,50 Congress Street,Suite 420,Boston,MA,2109,,,232 Boylston Street,,Newton,MA,2459,,"4,021",173,Yes,1375668,,,,,,,,11/13/2019 0:00,-71.17736919,(-71.17736919399994,42.31943289,42.319432894000045),,,,,,1,
MR283351,MRN283351,"Full Harvest Moonz, Inc.",Full H,Marijuana Retailer,,"1,500","10,000",Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,95-101 Plaistow Road,,Haverhill,MA,1830,01830,,22 Veronica Lane,,Weymouth,MA,2189,,,1201 Westford Street,,Lowell,MA,1851,,"3,831",17,Yes,1351851,,,,,,,,3/11/2020 0:00,-71.35742345,(-71.35742345399996,42.62797746,42.627977455000064),,,,,1,,
MR281835,MRN281835,Theory Wellness Inc,Theory,Marijuana Retailer,,300,"5,000",Not a DBE,1/16/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,672 Fuller Road,,Chicopee,MA,1020,01020,,38 Montvale Ave,#210,Stoneham,MA,2180,12,Theory Wellness Inc.,672 Fuller Road,,Chicopee,MA,1020,,"13,000",18,Yes,1328993,,,,,,,,8/23/2018 0:00,-72.55346731,(-72.55346730899998,42.16070555,42.16070554800007),,,,,,1,
MR281701,MRN281701,"Nature's Medicines, Inc.",Nature,Marijuana Retailer,,300,"5,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,482 Globe Street,,Fall River,MA,2724,02724,,P.O. Box D,,Fall River,MA,2724,51,"Nature's Medicines, Inc. (formerly Xiphias Wellness, Inc.)",482 Globe Street,,Fall River,MA,2724,,"1,700",27,Yes,1179000,,,,,,,,7/11/2018 0:00,-71.17207636,(-71.17207635699998,41.68786579,41.68786579400006),,,,,,1,
MP281704,MPN281704,"Turning Leaf Centers Otis, LLC",Turnin,Marijuana Product Manufacturer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1570 north main road,,Otis,MA,2153,02153,,PO Box 1328,,East Otis,MA,1029,,n/a,1570 North Main Road,,Otis,MA,2153,,"2,000",8,Yes,1373871,,Otis,,,,,,6/15/2019 0:00,-73.1097189,(-73.10971890299999,42.23286975,42.232869753000045),,,,,,1,
MR281588,MRN281588,Temescal Wellness of Massachusetts,Temesc,Marijuana Retailer,,300,"5,000",Not a DBE,12/13/2018 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,10 Callahan Drive,,Pittsfield,MA,1201,01201,,665 Cochituate Road,Second Floor,Framingham,MA,1701,38,Temescal Wellness of Massachusetts - Pittsfield,10 Callahan Drive,,Pittsfield,MA,1201,,"3,000",15,Yes,462527018,,,,,,,,6/13/2018 0:00,-73.31797181,(-73.31797181299999,42.42990914,42.42990914400008),,,,,,1,
MR281356,MRN281356,B Leaf Wellness Centre LLC,B Leaf,Marijuana Retailer,,300,"10,000",Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,60 Main Street,,Ware,MA,1082,01082,,60 Main St.,,Ware,MA,1082,,,60 Main Street,,Ware,MA,1082,,"1,000",48,Yes,1339471,,,,,,,,5/1/2018 0:00,-72.24087018,(-72.24087018199998,42.25983605,42.25983605400006),,,,,1,,
MC281899,MCN281899,Mainely Productions LLC,Mainel,Marijuana Cultivator,,400,"2,500",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,660 Douglas street,Suite #600,Uxbridge,MA,1569,01569,,11 Upton Street,Apt #4,Boston,MA,2118,,,600 Douglas Street Suite 600,,Uxbridge,MA,1569,,"14,953",9,Yes,1381630,,,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,1/3/2019 0:00,-71.66761749,(-71.66761748599998,42.06522813,42.06522812500003),,,,,,1,
MC282163,MCN282163,Paper City Industries LLC,Paper ,Marijuana Cultivator,,"2,000","25,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,11 Berkshire Street,,Holyoke,MA,1040,01040,,223 N. Guadalupe,#502,Santa Fe,NM,87501,,,11 Berkshire Street,,Holyoke,MA,1040,,"300,000",24,Yes,1382929,,,,,"Tier 11: 90,001 to 100,000 sq. ft",,,5/21/2019 0:00,-72.6155897,(-72.61558970099998,42.19346454,42.193464540000036),,,,,,1,
MR281426,MRN281426,"Health Circle, Inc.",Health,Marijuana Retailer,,300,"5,000",Not a DBE,1/14/2021 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,21 Commerce Road,,Rockland,MA,2370,02370,,21 Commerce Rd.,,Rockland,MA,2370,PCR Only,"Health Circle, Inc.",21 Commerce Road,,Rockland,MA,2370,,"19,000",7,Yes,1178901,,Rockland,,,,,,5/15/2018 0:00,-70.90239818,(-70.90239817799994,42.16478297,42.164782967000065),,,,,,1,
MR282952,MRN282952,Fresh Fields LLC,Fresh ,Marijuana Retailer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,"1700 Shawsheen St, 2nd Floor",,Tewksbury,MA,1876,01876,,"1700 Shawsheen St, 2nd Floor",,Tewksbury,MA,1876,,,350-354 Rantoul Street,,Beverly,MA,1915,,"5,400",110,Yes,1360507,,,,,,,,8/23/2019 0:00,-70.88286658,(-70.88286658299995,42.55239666,42.552396661000046),,,,,,1,
MC281510,MCN281510,"Platinum HydroLab, Inc.",Platin,Marijuana Cultivator,,200,"1,250",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,740 Dutton St,,Lowell,MA,1854,01854,,13 Jacques Rd,,Tyngsboro,MA,1879,,,740 Dutton Street,,Lowell,MA,1854,,"7,000",42,Yes,1331996,,,,,"Tier 01: up to 5,000 square feet",,,6/1/2018 0:00,-71.32096394,(-71.32096393599996,42.64054449,42.64054448500008),,,,,,1,
MP281445,MPN281445,"Apothca, Inc",Apothc,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,4/9/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,99 Development Rd,,Fitchburg,MA,1420,01420,,99 Development Rd,,Fitchburg,MA,1420,25,"Apothca, Inc.",99 Development Rd,,Fitchburg,MA,1420,,"66,000",14,Yes,1177859,,Newton,,,,,,7/24/2018 0:00,-71.85934187,(-71.85934187499998,42.55127885,42.551278850000074),,,,,,1,
MR281571,MRN281571,"Ipswich Pharmaceutical Associates, Inc.",Ipswic,Marijuana Retailer,,300,"5,000",Disability-Owned Business | Veteran-Owned Business,2/6/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,116 Newburyport Turnpike,,Rowley,MA,1969,01969,,116 Newburyport Tpk,,Rowley,MA,1969,RPA201928,"Ipswich Pharmaceutical Associates, Inc.",116 Newburyport Turnpike,,Rowley,MA,1969,,"2,100",11,Yes,1111562,Fine Fettle,Ipswich,,,,,,6/8/2018 0:00,-70.91129565,(-70.91129565199998,42.70087076,42.70087076000004),1,,,1,,,
MR282424,MRN282424,Ironstone Express Inc.,Ironst,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,454 Quaker hwy,,Uxbridge,MA,1569,01569,,p.o box 101,574 Blackstone St,UXBRIDGE,MA,1569,,,454 Quaker Highway,,Uxbridge,MA,1569,,"4,000",5,Yes,1368498,,,,,,,,2/20/2019 0:00,-71.62009193,(-71.62009193199998,42.04079869,42.040798693000056),,,,,,1,
MC281482,MCN281482,"Nature's Remedy of Massachusetts, Inc.",Nature,Marijuana Cultivator,,600,"7,500",Not a DBE,6/27/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,69 Milk Street,Suite 110,Westborough,MA,1581,01581,,69 Milk Street,Suite 110,Westborough,MA,1581,,"Nature's Remedy of Massachusetts, Inc.",310 Kenneth Welch Drive,,Lakeville,MA,2347,,"50,000",4,Yes,1323893,,,,,"Tier 04: 20,001 to 30,000 sq. ft",,,5/24/2018 0:00,-70.94767646,(-70.94767646399998,41.88569966,41.885699663000025),,,,,,1,
MP281345,MPN281345,"The Green Lady Dispensary, Inc.",The Gr,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,6/27/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,11 Amelia Drive,,Nantucket,MA,2554,02554,,11 Amelia Drive,,Nantucket,MA,2554,,"The Green Lady Dispensary, Inc.",11 Amelia Drive,,Nantucket,MA,2554,,"7,600",3,Yes,1331160,,,,,,,,5/15/2018 0:00,-70.0860055,(-70.08600550199998,41.26657864,41.26657864100008),,,1,,,,
MR282799,MRN282799,Royal Hemp LLC,Royal ,Marijuana Retailer,,300,0,Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,660 CHESHIRE ROAD,,LANESBOROUGH,MA,1224,01224,,660 CHESHIRE ROAD,,LANESBOROUGH,MA,1224,,,660 Cheshire Road,,Lanesborough,MA,1224,,"2,400",17,Yes,1381864,,,,,,,,6/20/2019 0:00,-73.20199561,(-73.20199560999998,42.49286197,42.49286197200007),,,,,,1,
MR282974,MRN282974,"Community Care Collective, Inc.",Commun,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,4 Republic Road,,Billerica,MA,1862,01862,,37 Spartan Arrow Road,,Littleton,MA,1460,,,4 Republic Road,,Billerica,MA,1862,,"4,500",25,Yes,1358223,,Littleton,,,,,,9/4/2019 0:00,-71.29987071,(-71.29987070899995,42.5575794,42.557579401000055),,,,,,1,
MP281490,MPN281490,"27 Broom Street, LLC",27 Bro,Marijuana Product Manufacturer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,26 Brookside Drive,,Feeding Hills,MA,1030,01030,,26 Brookside Drive,,Feeding Hills,MA,1030,,,27 Broom Street,,Plainfield,MA,1070,,"100,000",9,Yes,1263845,,,,,,,,9/19/2018 0:00,-72.90009245,(-72.90009244899994,42.51049373,42.51049372500006),,,,,,1,
MR282757,MRN282757,Four Score Holdings LLC,Four S,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,144 Sturbridge Road,,Charlton,MA,1507,01507,,144 Sturbridge,,Charlton,MA,1507,,,144 Sturbridge Road,,Charlton,MA,1507,,"20,960",10,Yes,1311831,,,,,,,,6/5/2019 0:00,-72.01981006,(-72.01981005799996,42.13908426,42.13908426100005),,,,,,1,
MR282925,MRN282925,Volcann LLC,Volcan,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,15 College Highway,Unit G2,Southampton,MA,1073,01073,,5 Nicholas Lane,,Southampton,MA,1073,,,15 College Highway,Unit G2,Southampton,MA,1073,,800,12,Yes,1386626,Dreamer,Southampton,,,,,,8/12/2019 0:00,-72.69769648,(-72.69769647699997,42.25154761,42.251547609000056),,,,,,1,
MR282037,MRN282037,Herbal Pathways,Herbal,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1315 East Street,,Pittsfield,MA,1201,01201,,10 West Street,,Allenstown,NH,3275,,,1317 East Street,,Pittsfield,MA,1201,,"1,000",13,Yes,1328456,,,,,,,,11/9/2018 0:00,-73.22125152,(-73.22125152399997,42.45397661,42.45397660500004),,,,,,1,
MR282947,MRN282947,"Patient Centric of Martha's Vineyard, Ltd.",Patien,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,90 Dr. Fisher Rd.,,West Tisbury,MA,2575,02575,,PO Box 1323,,West Tisbury,MA,2575,,"Patient Centric of Martha's Vineyard, Ltd.",510 State Road,,West Tisbury,MA,2575,,"2,820",17,Yes,1312842,,West Tisbury,,,,,,8/21/2019 0:00,-70.66795274,(-70.66795274199995,41.41507822,41.415078222000034),,,,,,1,
MR283470,MRN283470,"Metro Harvest, Inc.",Metro ,Marijuana Retailer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,292 Bedford St.,,Bridgewater,MA,2324,02324,,292 Bedford St.,,Bridgewater,MA,2324,,,240 Bridge Street,,Fairhaven,MA,2719,,"1,600",10,Yes,1378461,Metro Harvest,Bridgewater,,,,,,4/20/2020 0:00,-70.88668513,(-70.88668512699996,41.64681467,41.646814668000054),,,,,,1,
MP281374,MPN281374,"Ashli's Extracts, Inc.",Ashli',Marijuana Product Manufacturer,,300,"5,000",Veteran-Owned Business | Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,76 Frank Mossberg Dr.,,Attleboro,MA,2703,02703,,81 West St.,Suite 2112,Attleboro,MA,2703,,"The Leonard J Irving Center, Inc.",76 Frank Mossberg Dr.,,Attleboro,MA,2703,,"10,000",14,Yes,1327225,,,,,,,,6/2/2018 0:00,-71.3247996,(-71.32479960199998,41.91999311,41.919993110000064),,,,1,1,,
MR281951,MRN281951,PURE BOTANICALS LLC,PURE B,Marijuana Retailer,,300,0,Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,239 West st,,Pittsfield,MA,1201,01201,,46 Lucille St,,Pittsfield,MA,1201,,,239 West St,,Pittsfield,MA,1201,,"1,800",33,Yes,1323522,,,,,,,,10/5/2018 0:00,-73.26202646,(-73.26202646499996,42.4478035,42.44780350100007),,,,,,1,
MR282161,MRN282161,High Hopes LLC,High H,Marijuana Retailer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,"1 Menfi Way, Unit 9",,Hopedale,MA,1747,01747,,8 Hope St,,Hopedale,MA,1747,,,"1 Menfi Way, Unit 9",,Hopedale,MA,1747,,"3,000",14,Yes,1372831,High Hopes LLC,Hopedale,,,,,,12/10/2018 0:00,-71.51043619,(-71.51043618599995,42.10430925,42.104309253000054),,,,,,1,
MP281939,MPN281939,"Lifted Luxury, Inc",Lifted,Marijuana Product Manufacturer,,"1,500","10,000",Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,615 Adams Street,,Dorchester,MA,2122,02122,,100 HARTFORD AVE #3305-09,,PROVIDENCE,RI,2909,,,10 & 18 Prospect Street,,Millville,MA,1529,,"6,000",37,Yes,1454935,THERE IS NO DBA REGISTERED CURRENTLY,Boston,,,,,,8/21/2020 0:00,-71.58099488,(-71.58099487999993,42.02431983,42.024319829000035),,,,,1,,
MC281658,MCN281658,"Frozen 4, LLC",Frozen,Marijuana Cultivator,,600,"20,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,618 Columbia Road,,Dorchester,MA,2125,02125,,8 Bayridge Lane,,Duxbury,MA,2332,,,130 Myricks Street,,Berkley,MA,2779,,"30,000",3,Yes,1209379,,,,,"Tier 04: 20,001 to 30,000 sq. ft",,,8/6/2018 0:00,-71.01368512,(-71.01368512499994,41.83900848,41.839008481000064),,,,,,1,
MR282207,MRN282207,"GreenStar Herbals, Inc.",GreenS,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,22-24 Main Street,,Maynard,MA,1754,01754,,P.O Box 955,,Acton,MA,1720,,,22-24 Main Street,,Maynard,MA,1754,,"3,900",20,Yes,1327773,,,,,,,,12/19/2018 0:00,-71.45084722,(-71.45084722499998,42.43188572,42.43188572200006),,,,,,1,
MC281276,MCN281276,"Apothca, Inc",Apothc,Marijuana Cultivator,,600,"10,000",Not a DBE,4/9/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,99 Development Rd,,Fitchburg,MA,1420,01420,,99 Development Rd,,Fitchburg,MA,1420,25,"Apothca, Inc",99 Development Rd,,Fitchburg,MA,1420,,"66,000",14,Yes,1177859,,,,,"Tier 05: 30,001 to 40,000 sq. ft",,,4/19/2018 0:00,-71.85934187,(-71.85934187499998,42.55127885,42.551278850000074),,,,,,1,
MR282853,MRN282853,BKPN LLC,BKPN L,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1274 Merrimack Street,,DRACUT,MA,1826,01826,,1274 Merrimack Street,,DRACUT,MA,1826,,,1274 Merrimack Street,,Dracut,MA,1826,,"4,320",10,Yes,1360898,,,,,,,,7/10/2019 0:00,-71.24179627,(-71.24179627299998,42.66770831,42.667708305000076),,,,,,1,
MC281714,MCN281714,Twisted Growers LLC,Twiste,Marijuana Cultivator,,600,"50,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,415 Millennium Circle,,Lakeville,MA,2347,02347,,415 Millennium Circle,,Lakeville,MA,2347,,,415 Millennium Circle,,Lakeville,MA,2347,,"24,000",10,Yes,1352989,,,,,"Tier 11: 90,001 to 100,000 sq. ft",,,9/14/2018 0:00,-70.98162912,(-70.98162912299995,41.90290306,41.90290305900004),,,,,,1,
MC282596,MCN282596,"Mill Town Agriculture, LLC",Mill T,Marijuana Cultivator,,200,"1,250",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1 Cabot Street,,Holyoke,MA,1040,01040,,1029 North Road,PMB 131,Westfield,MA,1085,,,1 Cabot Street,,Holyoke,MA,1040,,"15,414",12,Yes,1407735,n/a,Natick,,,"Tier 01: up to 5,000 square feet",,,1/15/2020 0:00,-72.60216835,(-72.60216834599998,42.19663697,42.19663696500004),,,,,,1,
MR283027,MRN283027,"Agricultural Healing, Inc.",Agricu,Marijuana Retailer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,278 Scranton Avenue,,Falmouth,MA,2540,02540,,278 Scranton Avenue,,Falmouth,MA,2540,PCR only,"Agricultural Healing, Inc.",1 Lewiston Street,,Fall River,MA,2721,,"250,000",35,Yes,1318790,,,,,,,,10/2/2019 0:00,-71.14624735,(-71.14624735499996,41.69153954,41.691539540000065),,,,,,1,
MP281657,MPN281657,"HVV Massachusetts, Inc",HVV Ma,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,4/9/2020 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,38 Great Republic Drive,,Gloucester,MA,1930,01930,,39 Country Club Way,,Ipswich,MA,1938,,"HVV Massachusetts, Inc.",38 Great Republic Drive,,Gloucester,MA,1930,,"47,322",8,Yes,1320060,,,,,,,,4/30/2019 0:00,-70.64538053,(-70.64538052799998,42.62854491,42.62854491000007),,,,,,1,
